时间,商品名称,库存变化,单笔销量
2026-03-27 15:29:32,B-日本地址,-26->-27,1
2026-03-27 15:29:32,C-日本地址,-23->-25,2
2026-03-27 15:30:28,B-中国地址,-8->-9,1
2026-03-27 15:30:28,C-中国地址,-8->-9,1
2026-03-27 15:30:39,A-中国地址,-9->-10,1
2026-03-27 15:30:39,A-韩国地址,-125->-126,1
2026-03-27 15:31:45,A-韩国地址,-126->-127,1
2026-03-27 15:31:45,B-韩国地址,-78->-79,1
2026-03-27 15:31:45,C-韩国地址,-87->-88,1
2026-03-27 15:32:07,A-国际地址,-6->-8,2
2026-03-27 15:32:40,B-中国地址,-9->-10,1
2026-03-27 15:32:40,C-中国地址,-9->-10,1
2026-03-27 15:32:51,A-中国地址,-10->-12,2
2026-03-27 15:32:51,A-韩国地址,-127->-129,2
2026-03-27 15:32:51,B-韩国地址,-79->-81,2
2026-03-27 15:32:51,C-韩国地址,-88->-90,2
2026-03-27 15:33:57,A-韩国地址,-129->-131,2
2026-03-27 15:33:57,B-韩国地址,-81->-83,2
2026-03-27 15:33:57,C-韩国地址,-90->-92,2
2026-03-27 15:35:04,A-韩国地址,-131->-130,-1
2026-03-27 15:35:04,B-韩国地址,-83->-82,-1
2026-03-27 15:35:04,C-韩国地址,-92->-91,-1
2026-03-27 15:38:12,B-中国地址,-10->-12,2
2026-03-27 15:38:12,C-中国地址,-10->-12,2
2026-03-27 15:38:23,A-中国地址,-12->-13,1
2026-03-27 15:38:34,B-国际地址,-4->-5,1
2026-03-27 15:38:45,A-国际地址,-8->-9,1
2026-03-27 15:39:07,C-国际地址,-4->-5,1
2026-03-27 15:40:36,A-韩国地址,-130->-131,1
2026-03-27 15:40:36,B-韩国地址,-82->-83,1
2026-03-27 15:40:36,C-韩国地址,-91->-92,1
2026-03-27 15:42:48,A-日本地址,-34->-36,2
2026-03-27 15:42:48,B-日本地址,-27->-29,2
2026-03-27 15:42:48,C-日本地址,-25->-27,2
2026-03-27 15:43:54,A-日本地址,-36->-38,2
2026-03-27 15:43:54,A-韩国地址,-131->-130,-1
2026-03-27 15:43:54,B-日本地址,-29->-30,1
2026-03-27 15:43:54,B-韩国地址,-83->-82,-1
2026-03-27 15:43:54,C-日本地址,-27->-29,2
2026-03-27 15:43:54,C-韩国地址,-92->-91,-1
2026-03-27 15:45:01,A-韩国地址,-130->-131,1
2026-03-27 15:45:01,B-韩国地址,-82->-83,1
2026-03-27 15:45:01,C-韩国地址,-91->-92,1
2026-03-27 15:47:13,A-韩国地址,-131->-133,2
2026-03-27 15:47:13,B-韩国地址,-83->-84,1
2026-03-27 15:47:13,C-韩国地址,-92->-94,2
2026-03-27 15:49:25,A-韩国地址,-133->-129,-4
2026-03-27 15:49:25,B-韩国地址,-84->-82,-2
2026-03-27 15:49:25,C-韩国地址,-94->-91,-3
2026-03-27 15:52:44,A-韩国地址,-129->-130,1
2026-03-27 15:52:44,B-韩国地址,-82->-83,1
2026-03-27 15:52:44,C-韩国地址,-91->-92,1
2026-03-27 15:53:51,A-日本地址,-38->-40,2
2026-03-27 15:53:51,A-韩国地址,-130->-131,1
2026-03-27 15:53:51,B-日本地址,-30->-32,2
2026-03-27 15:53:51,B-韩国地址,-83->-84,1
2026-03-27 15:53:51,C-日本地址,-29->-31,2
2026-03-27 15:53:51,C-韩国地址,-92->-94,2
2026-03-27 15:55:52,B-中国地址,-12->-13,1
2026-03-27 15:55:52,C-中国地址,-12->-13,1
2026-03-27 15:56:03,A-日本地址,-40->-42,2
2026-03-27 15:56:03,A-中国地址,-13->-14,1
2026-03-27 15:57:09,A-日本地址,-42->-43,1
2026-03-27 15:57:09,B-日本地址,-32->-34,2
